"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,110.1909855291,-7.9668255793,7.144,0,0,0,0,-,-,1
2,110.1913875556,-7.9661613790,5.999,85.794,85.794,85.802,85.802,0.8,1.3%,1
3,110.1917895808,-7.9654971782,8.372,85.794,171.59,85.827,171.63,1.6,2.8%,1
4,110.1921916046,-7.9648329771,7.134,85.794,257.38,85.803,257.43,0.8,1.4%,1
5,110.1925936272,-7.9641687755,6.015,85.794,343.18,85.802,343.23,0.7,1.3%,1
6,110.1929956485,-7.9635045735,4.401,85.794,428.97,85.81,429.04,1.1,1.9%,1
7,110.1933976685,-7.9628403711,4.232,85.794,514.77,85.795,514.84,0.1,0.2%,1
8,110.1937996872,-7.9621761683,3.834,85.794,600.56,85.795,600.63,0.3,0.5%,1
9,110.1942017045,-7.9615119651,3.543,85.794,686.35,85.795,686.43,0.2,0.3%,1
10,110.1946037206,-7.9608477615,3.97,85.794,772.15,85.795,772.22,0.3,0.5%,1
11,110.1950057354,-7.9601835575,6.034,85.794,857.94,85.819,858.04,1.4,2.4%,1
12,110.1954077490,-7.9595193531,7.151,85.794,943.74,85.802,943.84,0.7,1.3%,1
13,110.1958097612,-7.9588551482,6.916,85.794,1029.5,85.795,1029.6,0.2,0.3%,1
14,110.1962117721,-7.9581909430,6.539,85.794,1115.3,85.795,1115.4,0.3,0.4%,1
15,110.1966137817,-7.9575267373,4.537,85.794,1201.1,85.818,1201.3,1.3,2.3%,1
16,110.1970157900,-7.9568625312,3.657,85.794,1286.9,85.799,1287.1,0.6,1.0%,1
17,110.1974177971,-7.9561983247,3,85.794,1372.7,85.797,1372.8,0.4,0.8%,1
18,110.1978198028,-7.9555341178,2.988,85.794,1458.5,85.794,1458.6,0.0,0.0%,1
19,110.1982218073,-7.9548699105,1.72,85.794,1544.3,85.804,1544.4,0.8,1.5%,1
20,110.1986238104,-7.9542057028,1.918,85.794,1630.1,85.795,1630.2,0.1,0.2%,1
21,110.1990258123,-7.9535414947,4.261,85.794,1715.9,85.826,1716.1,1.6,2.7%,1
22,110.1994278128,-7.9528772861,5.603,85.794,1801.7,85.805,1801.9,0.9,1.6%,1
23,110.1998298121,-7.9522130772,10.046,85.794,1887.5,85.909,1887.8,3.0,5.2%,1
24,110.2002318101,-7.9515488678,11.835,85.794,1973.3,85.813,1973.6,1.2,2.1%,1
25,110.2006338068,-7.9508846580,12.718,85.794,2059.1,85.799,2059.4,0.6,1.0%,1
26,110.2010358022,-7.9502204478,13.121,85.794,2144.9,85.795,2145.2,0.3,0.5%,1
27,110.2014377963,-7.9495562372,14.934,85.794,2230.7,85.814,2231,1.2,2.1%,1
28,110.2018397891,-7.9488920262,16.373,85.794,2316.4,85.806,2316.8,1.0,1.7%,1
29,110.2022417806,-7.9482278148,16.126,85.794,2402.2,85.795,2402.6,0.2,0.3%,1
30,110.2026437708,-7.9475636030,14.779,85.794,2488,85.805,2488.4,0.9,1.6%,1
31,110.2030457598,-7.9468993908,13.035,85.794,2573.8,85.812,2574.2,1.2,2.0%,1
32,110.2034477474,-7.9462351781,13.369,85.794,2659.6,85.795,2660,0.2,0.4%,1
33,110.2038497337,-7.9455709651,12.236,85.794,2745.4,85.802,2745.8,0.8,1.3%,1
34,110.2042517188,-7.9449067516,14.793,85.794,2831.2,85.832,2831.6,1.7,3.0%,1
35,110.2046537025,-7.9442425377,17.3,85.794,2917,85.831,2917.5,1.7,2.9%,1
36,110.2050556850,-7.9435783235,14.785,85.794,3002.8,85.831,3003.3,1.7,2.9%,1
37,110.2054576662,-7.9429141088,7.878,85.794,3088.6,86.072,3089.4,4.6,8.1%,1
38,110.2058596461,-7.9422498937,7.194,85.794,3174.4,85.797,3175.2,0.5,0.8%,1
39,110.2062616247,-7.9415856782,6.217,85.794,3260.2,85.8,3261,0.7,1.1%,1
40,110.2066636020,-7.9409214622,7.314,85.794,3346,85.801,3346.8,0.7,1.3%,1
41,110.2070655780,-7.9402572459,8.074,85.794,3431.8,85.798,3432.6,0.5,0.9%,1
42,110.2074675527,-7.9395930292,7.597,85.794,3517.6,85.796,3518.4,0.3,0.6%,1
43,110.2078695261,-7.9389288120,10.187,85.794,3603.4,85.833,3604.2,1.7,3.0%,1
44,110.2082714982,-7.9382645945,8.005,85.794,3689.2,85.822,3690,1.5,2.5%,1
45,110.2086734691,-7.9376003765,7.863,85.794,3775,85.794,3775.8,0.1,0.2%,1
46,110.2090754386,-7.9369361581,9.089,85.794,3860.7,85.803,3861.6,0.8,1.4%,1
47,110.2094774069,-7.9362719393,10.931,85.794,3946.5,85.814,3947.4,1.2,2.1%,1
48,110.2098793739,-7.9356077201,12.706,85.794,4032.3,85.813,4033.3,1.2,2.1%,1
49,110.2102813396,-7.9349435005,13.389,85.794,4118.1,85.797,4119.1,0.5,0.8%,1
50,110.2106833039,-7.9342792805,11.948,85.794,4203.9,85.806,4204.9,1.0,1.7%,1
51,110.2110852670,-7.9336150601,13.987,85.794,4289.7,85.819,4290.7,1.4,2.4%,1
52,110.2114872289,-7.9329508393,14.952,85.794,4375.5,85.8,4376.5,0.6,1.1%,1
53,110.2118891894,-7.9322866180,17.186,85.794,4461.3,85.823,4462.3,1.5,2.6%,1
54,110.2122911486,-7.9316223964,11.841,85.794,4547.1,85.961,4548.3,3.6,6.2%,1
55,110.2126931065,-7.9309581743,9.527,85.794,4632.9,85.826,4634.1,1.5,2.7%,1
56,110.2130950632,-7.9302939518,9.142,85.794,4718.7,85.795,4719.9,0.3,0.4%,1
57,110.2134970186,-7.9296297290,11.667,85.794,4804.5,85.831,4805.7,1.7,2.9%,1
58,110.2138989726,-7.9289655057,10.964,85.794,4890.3,85.797,4891.5,0.5,0.8%,1
59,110.2143009254,-7.9283012820,11.54,85.794,4976.1,85.796,4977.3,0.4,0.7%,1
60,110.2147028769,-7.9276370579,22.402,85.794,5061.9,86.479,5063.8,7.2,12.7%,1
61,110.2151048271,-7.9269728334,23.441,85.794,5147.7,85.801,5149.6,0.7,1.2%,1
62,110.2155067760,-7.9263086084,24.02,85.794,5233.5,85.796,5235.4,0.4,0.7%,1
63,110.2159087236,-7.9256443831,22.913,85.794,5319.2,85.801,5321.2,0.7,1.3%,1
64,110.2163106700,-7.9249801574,27.56,85.794,5405,85.92,5407.1,3.1,5.4%,1
65,110.2167126150,-7.9243159312,33.002,85.794,5490.8,85.967,5493.1,3.6,6.3%,1
66,110.2171145588,-7.9236517046,35.54,85.794,5576.6,85.832,5578.9,1.7,3.0%,1
67,110.2175165012,-7.9229874777,37.469,85.794,5662.4,85.816,5664.7,1.3,2.2%,1
68,110.2179184424,-7.9223232503,35.611,85.794,5748.2,85.814,5750.5,1.2,2.2%,1
69,110.2183203823,-7.9216590225,34.387,85.794,5834,85.803,5836.3,0.8,1.4%,1
70,110.2187223209,-7.9209947943,41.02,85.794,5919.8,86.05,5922.4,4.4,7.7%,1
71,110.2191242582,-7.9203305657,51.141,85.794,6005.6,86.389,6008.8,6.7,11.8%,1
72,110.2195261943,-7.9196663367,58.211,85.794,6091.4,86.085,6094.9,4.7,8.2%,1
73,110.2199281290,-7.9190021073,62.197,85.794,6177.2,85.887,6180.7,2.7,4.6%,1
74,110.2203300625,-7.9183378775,60.013,85.794,6263,85.822,6266.6,1.5,2.5%,1
75,110.2207319946,-7.9176736472,61.75,85.794,6348.8,85.812,6352.4,1.2,2.0%,1
76,110.2211339255,-7.9170094166,67.785,85.794,6434.6,86.006,6438.4,4.0,7.0%,1
77,110.2215358551,-7.9163451855,72.603,85.794,6520.4,85.93,6524.3,3.2,5.6%,1
78,110.2219377834,-7.9156809541,73.441,85.794,6606.2,85.798,6610.1,0.6,1.0%,1
79,110.2223397104,-7.9150167222,72.543,85.794,6692,85.799,6695.9,0.6,1.0%,1
80,110.2227416361,-7.9143524899,72.173,85.794,6777.8,85.795,6781.7,0.2,0.4%,1
81,110.2231435606,-7.9136882573,70.089,85.794,6863.5,85.82,6867.5,1.4,2.4%,1
82,110.2235454837,-7.9130240242,71.118,85.794,6949.3,85.801,6953.3,0.7,1.2%,1
83,110.2239474056,-7.9123597907,70.768,85.794,7035.1,85.795,7039.1,0.2,0.4%,1
84,110.2243493262,-7.9116955568,65.159,85.794,7120.9,85.978,7125.1,3.7,6.5%,1
85,110.2247512455,-7.9110313224,61.426,85.794,7206.7,85.876,7211,2.5,4.4%,1
86,110.2251531635,-7.9103670877,63.138,85.794,7292.5,85.811,7296.8,1.1,2.0%,1
87,110.2255550802,-7.9097028526,71.931,85.794,7378.3,86.244,7383,5.9,10.2%,1
88,110.2259569956,-7.9090386170,67.299,85.794,7464.1,85.919,7469,3.1,5.4%,1
89,110.2263589098,-7.9083743811,59.963,85.794,7549.9,86.107,7555.1,4.9,8.6%,1
90,110.2267608226,-7.9077101447,62.517,85.794,7635.7,85.832,7640.9,1.7,3.0%,1
91,110.2271627342,-7.9070459080,60.882,85.794,7721.5,85.81,7726.7,1.1,1.9%,1
92,110.2275646445,-7.9063816708,61.239,85.794,7807.3,85.795,7812.5,0.2,0.4%,1
93,110.2279665535,-7.9057174332,64.889,85.794,7893.1,85.872,7898.4,2.4,4.3%,1
94,110.2283684612,-7.9050531952,64.469,85.794,7978.9,85.795,7984.2,0.3,0.5%,1
95,110.2287703677,-7.9043889568,65.603,85.794,8064.7,85.802,8070,0.8,1.3%,1
96,110.2291722728,-7.9037247180,71.028,85.794,8150.5,85.966,8155.9,3.6,6.3%,1
97,110.2295741767,-7.9030604788,69.952,85.794,8236.3,85.801,8241.7,0.7,1.3%,1
98,110.2299760793,-7.9023962392,69.739,85.794,8322.1,85.795,8327.5,0.1,0.2%,1
99,110.2303779806,-7.9017319992,72.401,85.794,8407.8,85.836,8413.4,1.8,3.1%,1
100,110.2307798806,-7.9010677588,76.934,85.794,8493.6,85.914,8499.3,3.0,5.3%,1
101,110.2311817793,-7.9004035179,76.16,85.794,8579.4,85.798,8585.1,0.5,0.9%,1
102,110.2315836767,-7.8997392767,68.825,85.794,8665.2,86.107,8671.2,4.9,8.5%,1
103,110.2319855729,-7.8990750350,65.784,85.794,8751,85.848,8757,2.0,3.5%,1
104,110.2323874678,-7.8984107929,59.837,85.794,8836.8,86,8843,4.0,6.9%,1
105,110.2327893613,-7.8977465505,54.822,85.794,8922.6,85.941,8929,3.3,5.8%,1
106,110.2331912536,-7.8970823076,54.731,85.794,9008.4,85.794,9014.8,0.1,0.1%,1
107,110.2335931447,-7.8964180643,55.074,85.794,9094.2,85.795,9100.6,0.2,0.4%,1
108,110.2339950344,-7.8957538206,54.192,85.794,9180,85.799,9186.4,0.6,1.0%,1
109,110.2343969228,-7.8950895765,45.078,85.794,9265.8,86.277,9272.6,6.1,10.6%,1
110,110.2347988100,-7.8944253320,45.069,85.794,9351.6,85.794,9358.4,0.0,0.0%,1
111,110.2352006959,-7.8937610871,47.42,85.794,9437.4,85.827,9444.3,1.6,2.7%,1
112,110.2356025805,-7.8930968418,53.288,85.794,9523.2,85.995,9530.3,3.9,6.8%,1
113,110.2360044638,-7.8924325961,45.997,85.794,9609,86.104,9616.4,4.9,8.5%,1
114,110.2364063458,-7.8917683499,34.504,85.794,9694.8,86.561,9702.9,7.6,13.4%,1
115,110.2368082266,-7.8911041034,24.503,85.794,9780.6,86.375,9789.3,6.6,11.7%,1
116,110.2372101061,-7.8904398564,25.142,85.794,9866.4,85.797,9875.1,0.4,0.7%,1
117,110.2376119842,-7.8897756091,24.481,85.794,9952.1,85.797,9960.9,0.4,0.8%,1
118,110.2380138611,-7.8891113613,26.688,85.794,10037.9,85.823,10046.7,1.5,2.6%,1
119,110.2384157368,-7.8884471132,31.347,85.794,10123.7,85.921,10132.6,3.1,5.4%,1
120,110.2388176111,-7.8877828646,38.183,85.794,10209.5,86.066,10218.7,4.6,8.0%,1
121,110.2392194842,-7.8871186156,42.865,85.794,10295.3,85.922,10304.6,3.1,5.5%,1
122,110.2396213559,-7.8864543662,44.278,85.794,10381.1,85.806,10390.4,0.9,1.6%,1
123,110.2400232264,-7.8857901164,42.144,85.794,10466.9,85.821,10476.2,1.4,2.5%,1
124,110.2404250956,-7.8851258662,46.591,85.794,10552.7,85.91,10562.2,3.0,5.2%,1
125,110.2408269635,-7.8844616156,46.046,85.794,10638.5,85.796,10648,0.4,0.6%,1
126,110.2412288302,-7.8837973646,42.045,85.794,10724.3,85.888,10733.8,2.7,4.7%,1
127,110.2416306955,-7.8831331132,48.069,85.794,10810.1,86.006,10819.8,4.0,7.0%,1
128,110.2420325596,-7.8824688614,53,85.794,10895.9,85.936,10905.8,3.3,5.7%,1
129,110.2424344224,-7.8818046091,53.119,85.794,10981.7,85.794,10991.6,0.1,0.1%,1
130,110.2428362839,-7.8811403565,57.803,85.794,11067.5,85.922,11077.5,3.1,5.5%,1
131,110.2432381442,-7.8804761034,56.216,85.794,11153.3,85.809,11163.3,1.1,1.8%,1
132,110.2436400031,-7.8798118500,61.17,85.794,11239.1,85.937,11249.2,3.3,5.8%,1
133,110.2440418608,-7.8791475961,62.482,85.794,11324.9,85.804,11335,0.9,1.5%,1
134,110.2444437172,-7.8784833419,63.915,85.794,11410.6,85.806,11420.9,1.0,1.7%,1
135,110.2448455723,-7.8778190872,68.178,85.794,11496.4,85.9,11506.8,2.8,5.0%,1
136,110.2452474261,-7.8771548321,67.267,85.794,11582.2,85.799,11592.6,0.6,1.1%,1
137,110.2456492787,-7.8764905766,69.572,85.794,11668,85.825,11678.4,1.5,2.7%,1
138,110.2460511300,-7.8758263207,64.362,85.794,11753.8,85.952,11764.3,3.5,6.1%,1
139,110.2464529799,-7.8751620644,60.09,85.794,11839.6,85.901,11850.2,2.9,5.0%,1
140,110.2468548286,-7.8744978077,60.225,85.794,11925.4,85.794,11936,0.1,0.2%,1
141,110.2472566761,-7.8738335506,62.627,85.794,12011.2,85.828,12021.9,1.6,2.8%,1
142,110.2476585222,-7.8731692931,64.824,85.794,12097,85.822,12107.7,1.5,2.6%,1
143,110.2480603671,-7.8725050352,64.983,85.794,12182.8,85.794,12193.5,0.1,0.2%,1
144,110.2484622107,-7.8718407769,69.109,85.794,12268.6,85.894,12279.4,2.8,4.8%,1
145,110.2488640530,-7.8711765181,69,85.794,12354.4,85.794,12365.2,0.1,0.1%,1
146,110.2492658940,-7.8705122590,73.659,85.794,12440.2,85.921,12451.1,3.1,5.4%,1
147,110.2496677338,-7.8698479994,72.817,85.794,12526,85.798,12536.9,0.6,1.0%,1
148,110.2500695722,-7.8691837395,68.249,85.794,12611.8,85.916,12622.8,3.0,5.3%,1
149,110.2504714094,-7.8685194791,63.706,85.794,12697.6,85.915,12708.7,3.0,5.3%,1
150,110.2508732453,-7.8678552184,58.465,85.794,12783.4,85.954,12794.7,3.5,6.1%,1
151,110.2512750800,-7.8671909572,51.499,85.794,12869.2,86.077,12880.7,4.6,8.1%,1
152,110.2516769133,-7.8665266956,49.979,85.794,12954.9,85.808,12966.5,1.0,1.8%,1
153,110.2520787454,-7.8658624337,48.885,85.794,13040.7,85.801,13052.3,0.7,1.3%,1
154,110.2524805762,-7.8651981713,44.287,85.794,13126.5,85.917,13138.3,3.1,5.4%,1
155,110.2528824057,-7.8645339085,35.669,85.794,13212.3,86.226,13224.5,5.7,10.0%,1
156,110.2532842339,-7.8638696453,31.577,85.794,13298.1,85.892,13310.4,2.7,4.8%,1
157,110.2536860609,-7.8632053817,30.855,85.794,13383.9,85.797,13396.2,0.5,0.8%,1
158,110.2540878866,-7.8625411177,36.137,85.794,13469.7,85.957,13482.1,3.5,6.2%,1
159,110.2544897110,-7.8618768533,47.406,85.794,13555.5,86.531,13568.7,7.5,13.1%,1
160,110.2548915341,-7.8612125885,51.879,85.794,13641.3,85.911,13654.6,3.0,5.2%,1
161,110.2552933559,-7.8605483232,48.919,85.794,13727.1,85.845,13740.4,2.0,3.4%,1
162,110.2556951765,-7.8598840576,47.503,85.794,13812.9,85.806,13826.2,0.9,1.7%,1
163,110.2560969958,-7.8592197916,50.809,85.794,13898.7,85.858,13912.1,2.2,3.9%,1
164,110.2564988138,-7.8585555252,42.646,85.794,13984.5,86.182,13998.3,5.4,9.5%,1
165,110.2569006306,-7.8578912583,42.685,85.794,14070.3,85.794,14084.1,0.0,0.0%,1
166,110.2573024460,-7.8572269911,46.56,85.794,14156.1,85.882,14169.9,2.6,4.5%,1
167,110.2577042602,-7.8565627234,50.219,85.794,14241.9,85.872,14255.8,2.4,4.3%,1
168,110.2581060731,-7.8558984554,55.513,85.794,14327.7,85.958,14341.8,3.5,6.2%,1
169,110.2585078847,-7.8552341869,54.315,85.794,14413.5,85.803,14427.6,0.8,1.4%,1
170,110.2589096951,-7.8545699180,58.321,85.794,14499.2,85.888,14513.5,2.7,4.7%,1
171,110.2593115041,-7.8539056488,65.922,85.794,14585,86.13,14599.6,5.1,8.9%,1
172,110.2597133119,-7.8532413791,70.985,85.794,14670.8,85.944,14685.5,3.4,5.9%,1
173,110.2601151185,-7.8525771090,63.256,85.794,14756.6,86.142,14771.7,5.1,9.0%,1
174,110.2605169237,-7.8519128385,63.079,85.794,14842.4,85.795,14857.5,0.1,0.2%,1
175,110.2609187277,-7.8512485676,70.208,85.794,14928.2,86.09,14943.6,4.8,8.3%,1
176,110.2613205304,-7.8505842963,76.612,85.794,15014,86.033,15029.6,4.3,7.5%,1
177,110.2617223318,-7.8499200246,82.921,85.794,15099.8,86.026,15115.6,4.2,7.4%,1
178,110.2621241319,-7.8492557525,88.326,85.794,15185.6,85.964,15201.6,3.6,6.3%,1
179,110.2625259308,-7.8485914800,92.943,85.794,15271.4,85.918,15287.5,3.1,5.4%,1
180,110.2629277284,-7.8479272071,93.959,85.794,15357.2,85.8,15373.3,0.7,1.2%,1
181,110.2633295247,-7.8472629338,98.551,85.794,15443,85.917,15459.2,3.1,5.4%,1
182,110.2637313197,-7.8465986600,98.289,85.794,15528.8,85.795,15545,0.2,0.3%,1
183,110.2641331135,-7.8459343859,99.881,85.794,15614.6,85.809,15630.8,1.1,1.9%,1
184,110.2645349059,-7.8452701114,104.372,85.794,15700.4,85.912,15716.7,3.0,5.2%,1
185,110.2649366972,-7.8446058365,104.934,85.794,15786.2,85.796,15802.5,0.4,0.7%,1
186,110.2653384871,-7.8439415611,100.585,85.794,15872,85.904,15888.4,2.9,5.1%,1
187,110.2657402757,-7.8432772854,107.532,85.794,15957.7,86.075,15974.5,4.6,8.1%,1
188,110.2661420631,-7.8426130092,109.705,85.794,16043.5,85.822,16060.3,1.5,2.5%,1
189,110.2665438492,-7.8419487327,110.138,85.794,16129.3,85.795,16146.1,0.3,0.5%,1
190,110.2669456341,-7.8412844557,112.391,85.794,16215.1,85.824,16232,1.5,2.6%,1
191,110.2673474176,-7.8406201783,115.759,85.794,16300.9,85.86,16317.8,2.2,3.9%,1
192,110.2677491999,-7.8399559006,120.642,85.794,16386.7,85.933,16403.8,3.3,5.7%,1
193,110.2681509809,-7.8392916224,128.581,85.794,16472.5,86.161,16489.9,5.3,9.3%,1
194,110.2685527607,-7.8386273438,126.86,85.794,16558.3,85.812,16575.7,1.1,2.0%,1
195,110.2689545391,-7.8379630648,122.945,85.794,16644.1,85.884,16661.6,2.6,4.6%,1
196,110.2693563163,-7.8372987855,133.635,85.794,16729.9,86.458,16748.1,7.1,12.5%,1
197,110.2697580922,-7.8366345057,138.567,85.794,16815.7,85.936,16834,3.3,5.7%,1
198,110.2701598669,-7.8359702255,132.607,85.794,16901.5,86.001,16920,4.0,6.9%,1
199,110.2705616402,-7.8353059449,127.172,85.794,16987.3,85.966,17006,3.6,6.3%,1
200,110.2709634123,-7.8346416639,138.211,85.794,17073.1,86.502,17092.5,7.3,12.9%,1
201,110.2713651831,-7.8339773825,147.977,85.794,17158.9,86.348,17178.8,6.5,11.4%,1
202,110.2717669527,-7.8333131007,150.56,85.794,17244.7,85.833,17264.7,1.7,3.0%,1
203,110.2721687210,-7.8326488185,141.911,85.794,17330.5,86.229,17350.9,5.8,10.1%,1
204,110.2725704880,-7.8319845358,140.09,85.794,17416.3,85.814,17436.7,1.2,2.1%,1
205,110.2729722537,-7.8313202528,147.433,85.794,17502,86.108,17522.8,4.9,8.6%,1
206,110.2733740181,-7.8306559694,145.044,85.794,17587.8,85.828,17608.6,1.6,2.8%,1
207,110.2737757813,-7.8299916856,136.581,85.794,17673.6,86.211,17694.8,5.6,9.9%,1
208,110.2741775432,-7.8293274014,128.523,85.794,17759.4,86.172,17781,5.4,9.4%,1
209,110.2745793039,-7.8286631167,118.772,85.794,17845.2,86.347,17867.4,6.5,11.4%,1
210,110.2749810632,-7.8279988317,105.893,85.794,17931,86.756,17954.1,8.5,15.0%,1
211,110.2753828213,-7.8273345462,84.072,85.794,18016.8,88.526,18042.6,14.3,25.4%,1
212,110.2757845781,-7.8266702604,88.66,85.794,18102.6,85.917,18128.6,3.1,5.3%,1
213,110.2761863337,-7.8260059742,86.495,85.794,18188.4,85.822,18214.4,1.4,2.5%,1
214,110.2765880880,-7.8253416875,95.047,85.794,18274.2,86.22,18300.6,5.7,10.0%,1
215,110.2769898410,-7.8246774004,94.186,85.794,18360,85.799,18386.4,0.6,1.0%,1
216,110.2773915927,-7.8240131130,101.443,85.794,18445.8,86.101,18472.5,4.8,8.5%,1
217,110.2777933432,-7.8233488251,104.171,85.794,18531.6,85.838,18558.3,1.8,3.2%,1
218,110.2781950923,-7.8226845369,101.492,85.794,18617.4,85.836,18644.2,1.8,3.1%,1
219,110.2785968403,-7.8220202482,94.819,85.794,18703.2,86.054,18730.2,4.4,7.8%,1
220,110.2789985869,-7.8213559591,87.901,85.794,18789,86.073,18816.3,4.6,8.1%,1
221,110.2794003323,-7.8206916697,85,85.794,18874.8,85.843,18902.1,1.9,3.4%,1
222,110.2798020764,-7.8200273798,86.028,85.794,18960.6,85.801,18987.9,0.7,1.2%,1
223,110.2802038192,-7.8193630895,84.906,85.794,19046.3,85.802,19073.7,0.7,1.3%,1
224,110.2806055608,-7.8186987988,80.969,85.794,19132.1,85.885,19159.6,2.6,4.6%,1
225,110.2810073011,-7.8180345077,80.227,85.794,19217.9,85.798,19245.4,0.5,0.9%,1
226,110.2814090401,-7.8173702162,91.83,85.794,19303.7,86.575,19332,7.7,13.5%,1
227,110.2818107778,-7.8167059244,92.406,85.794,19389.5,85.796,19417.8,0.4,0.7%,1
228,110.2822125143,-7.8160416321,91.276,85.794,19475.3,85.802,19503.6,0.8,1.3%,1
229,110.2826142495,-7.8153773394,94.581,85.794,19561.1,85.858,19589.5,2.2,3.9%,1
230,110.2830159835,-7.8147130463,98.113,85.794,19646.9,85.867,19675.3,2.4,4.1%,1
231,110.2834177161,-7.8140487528,104.68,85.794,19732.7,86.045,19761.4,4.4,7.7%,1
232,110.2838194475,-7.8133844589,101.046,85.794,19818.5,85.871,19847.2,2.4,4.2%,1
233,110.2842211777,-7.8127201645,100.948,85.794,19904.3,85.794,19933,0.1,0.1%,1
234,110.2846229065,-7.8120558698,99.187,85.794,19990.1,85.812,20018.9,1.2,2.1%,1
235,110.2850246341,-7.8113915747,97.011,85.794,20075.9,85.822,20104.7,1.5,2.5%,1
236,110.2854263604,-7.8107272792,92.019,85.794,20161.7,85.939,20190.6,3.3,5.8%,1
237,110.2858280855,-7.8100629833,94.237,85.794,20247.5,85.823,20276.4,1.5,2.6%,1
238,110.2862298092,-7.8093986870,92.098,85.794,20333.3,85.821,20362.3,1.4,2.5%,1
239,110.2866315318,-7.8087343902,92.43,85.794,20419.1,85.795,20448.1,0.2,0.4%,1
240,110.2870332530,-7.8080700931,92.105,85.794,20504.8,85.795,20533.8,0.2,0.4%,1
241,110.2874349730,-7.8074057956,85.167,85.794,20590.6,86.074,20619.9,4.6,8.1%,1
242,110.2878366917,-7.8067414977,84.522,85.794,20676.4,85.797,20705.7,0.4,0.8%,1
243,110.2882384091,-7.8060771993,89.042,85.794,20762.2,85.913,20791.6,3.0,5.3%,1
244,110.2886401253,-7.8054129006,89.104,85.794,20848,85.794,20877.4,0.0,0.1%,1
245,110.2890418402,-7.8047486015,89.043,85.794,20933.8,85.794,20963.2,0.0,0.1%,1
246,110.2894435538,-7.8040843019,87.997,85.794,21019.6,85.801,21049,0.7,1.2%,1
247,110.2898452662,-7.8034200020,88.688,85.794,21105.4,85.797,21134.8,0.5,0.8%,1
248,110.2902469773,-7.8027557016,89.03,85.794,21191.2,85.795,21220.6,0.2,0.4%,1
249,110.2906486871,-7.8020914009,92.864,85.794,21277,85.88,21306.5,2.6,4.5%,1
250,110.2910503956,-7.8014270997,94.563,85.794,21362.8,85.811,21392.3,1.1,2.0%,1
251,110.2914521029,-7.8007627982,96,85.794,21448.6,85.806,21478.1,1.0,1.7%,1
252,110.2918538090,-7.8000984962,97.109,85.794,21534.4,85.802,21563.9,0.7,1.3%,1
253,110.2922555137,-7.7994341939,98.318,85.794,21620.2,85.803,21649.7,0.8,1.4%,1
254,110.2926572172,-7.7987698911,97.704,85.794,21706,85.797,21735.5,0.4,0.7%,1
255,110.2930589194,-7.7981055880,98.02,85.794,21791.8,85.795,21821.3,0.2,0.4%,1
256,110.2934606204,-7.7974412844,101.802,85.794,21877.6,85.878,21907.2,2.5,4.4%,1
257,110.2938623201,-7.7967769804,103.603,85.794,21963.4,85.813,21993,1.2,2.1%,1
258,110.2942640185,-7.7961126761,99.004,85.794,22049.1,85.918,22078.9,3.1,5.4%,1
259,110.2946657156,-7.7954483713,100.307,85.794,22134.9,85.804,22164.7,0.9,1.5%,1
260,110.2950674115,-7.7947840661,102.4,85.794,22220.7,85.82,22250.5,1.4,2.4%,1
261,110.2954691061,-7.7941197606,98.675,85.794,22306.5,85.875,22336.4,2.5,4.3%,1
